// LLM generated

// // level 1
// || Your destiny is not written in the stars above, but in the choices you make when no one is watching and the effort feels too heavy to bear.
// || Success is not found in the thunderous applause of one grand moment, but in the silent dedication of ten thousand unseen hours.
// || Every morning you are handed a blank canvas called today; the masterpiece is entirely up to you.
// || The mountain does not care about your excuses, it only yields to those who keep climbing when their legs beg for rest.
// || Do not confuse a busy life with a purposeful one; the busiest river still knows exactly where it is going.
// || Life will test you not with challenges you can handle, but with ones that will force you to discover strength you never knew lived within you.

// // level 2
// || The fire of motivation may be lit by others, but only you can carry the torch through the storms that seek to extinguish it.
// || Discipline is choosing between what you want now and what you want most; the future belongs to those who master this choice.
// || Your future self is watching you right now through the memories you are creating today.
// || The view from the summit is breathtaking, but the person you become during the climb is the true reward.
// || Your comfort zone is a beautiful place, but nothing ever grows there.
// || Keep your eyes on the horizon, for stumbling blocks are only visible when you look down at your feet.
// || True success is not measured by the height of your peak, but by the depth of the valleys you traversed to reach it.
// || Success is not a lightning strike of luck, but the steady erosion of obstacles by the river of persistence.
// || Time has a way of rewarding those who show up every day, even when the results are hidden beneath the surface of the soil.
// || Your comfort zone may feel safe, but it is the only place where your dreams slowly suffocate under the weight of the ordinary.

// // level 3
// || Life does not reward the talented who rest on their gifts, but the relentless who show up when talent has already gone home.
// || The distance between your current reality and your wildest dreams is measured not in miles, but in the daily habits you refuse to compromise.
// || Discipline is the quiet architect of your future, building empires one small decision at a time while motivation is still asleep.
// || The difference between a stumbling block and a stepping stone is how high you raise your foot.
// || Every setback is merely a plot twist in the story of your success, designed to make the victory chapter even more compelling.
// || Do not wait for the perfect moment, because it does not exist; take the moment you have and make it perfect through your actions.
// || Do not let your dreams be guests in your mind who never pay rent; evict them into the world through action.
// || The difference between ordinary and extraordinary is that little 'extra' push you give when everyone else has decided to quit.
// || Courage is not the absence of fear, but the realization that something else matters more than the trembling in your hands.
// || Every master was once a disaster who refused to give up on the process of becoming better.
// || Do not wait for the path to clear before you take your first step; make the way by walking.
// || Success is not a destination at which you arrive, but a manner in which you travel each day.
// || The difference between who you are and who you want to be is what you do when the alarm goes off and the bed is warm.
// || True strength is not about never falling down, but about how quickly you gather the pieces to rise again.
// || Potential is merely a whisper until the roar of your actions gives it a voice.
// || The only true failure is settling for a life smaller than the one you are capable of living, so refuse to let your comfort zone become your coffin.
// || The mountain of your dreams cannot be climbed with the footsteps of your excuses; every summit is reached one uncomfortable step at a time.
// || Discipline is choosing between what you want now and what you want most, and having the courage to sacrifice the fleeting for the everlasting.
// || Your future self is watching you right now through the memories you are creating today, so make decisions that person will thank you for.
// || The bridge between who you are today and who you want to become tomorrow is built entirely with the bricks of today's discipline.
// || Life is a mirror that reflects your daily choices; if you don't like what you see, stop blaming the glass and start changing your actions.
// || Success is not reserved for the brilliant or the lucky, but hoarded by the stubborn who refuse to let a thousand tiny defeats stop their march.
// || Your comfort zone is a beautiful place where dreams go to die quietly, so step into the storm of uncertainty where your true potential is waiting to be forged.

// || The seeds of greatness are planted in the soil of routine; water them daily with discipline and watch your ordinary moments bloom into an extraordinary life.
// || You cannot negotiate with the universe for an easier path, but you can forge yourself into someone who thrives on the rugged terrain.
// || Motivation may strike the match, but only discipline tends the fire through the darkest hours when inspiration has already gone to sleep.
// || Life disguises its greatest gifts as impossible obstacles, waiting to see who is stubborn enough to tear away the wrapping.
// || Success is not a crown placed by fortune upon your head, but a fortress you build brick by brick with hands calloused from persistent effort.
// || The silent battles you fight when no one is watching are the very victories that will announce your arrival to the world.
// || Do not pray for a lighter load, but for a stronger back; the weights that break others will be the very things that build you.
// || Your destiny is not written in the stars above, but in the daily choices you make when the world has stopped watching.
// || The flame of motivation will always flicker, but the steady furnace of discipline will heat the forge where your greatest self is shaped.
// || Success does not wear a name tag waiting for the chosen few; it responds to the quiet knock of consistency long after the crowd has walked away.
// || The masterpieces of life are not painted in moments of inspiration, but in the quiet hours of discipline when the world has stopped watching and the work must still be done.
// || Your life is a book being written by your actions, not your intentions; make sure the story you are living is worth the pages it occupies.
// || Motivation is a visitor who rarely stays for long, but discipline is the loyal companion that will walk with you to the very edge of your potential.
// || Success does not belong to those who wait for the storm to pass, but to those who learn to build their sails while the fiercest winds are still blowing.
// || The distance between mediocrity and greatness is spanned by the small, unglamorous choices you make when no one is there to applaud.

google/gemini-3.1-pro-preview || A to-do list is simply a highly organized inventory of everything you are about to completely ignore.
openai/gpt-5.5 || Patience is what we call waiting when there are witnesses.
openai/gpt-5.5 || A clean desk is just a drawer that has accepted defeat.
moonshotai/kimi-k2.6 || When one door closes, another opens, though the hallway in between is a nightmare.
moonshotai/kimi-k2.6 || Find a job you love and you'll never work a day in your life, which makes retirement a rather puzzling concept.
zai-glm-5 || I've been working on my patience. It's taking longer than I expected.
zai-glm-5 || I've never met a problem I couldn't make worse by overthinking it.
zai-glm-5 || The trouble with living in the moment is that it doesn't last very long.
minimax/minimax-m2.7 || I'm not procrastinating. I'm just thoroughly researching all the ways I'm not working.
openai/gpt-5.5 || Wisdom begins when your excuses start to bore you.
moonshotai/kimi-k2.6 || Comfort is a debt you pay back in regret.
deepseek/deepseek-v4-pro || Comfort is the most expensive thing you can afford.
moonshotai/kimi-k2.6 || Perfection is just procrastination in a better outfit.
zai-glm-5 || The trouble with playing it safe is that you might succeed.
zai-glm-5 || Most of what we call bad luck is just decisions arriving late.
zai-glm-5 || A comfortable life is the most expensive thing you'll never notice buying.
zai-glm-5 || The only thing more exhausting than doing the work is explaining why you didn't.
zai-glm-5 || You know you've grown up when your excuses start boring even you.
deepseek/deepseek-v4-pro || Most victories happen long after the crowd has gone home.
deepseek/deepseek-v4-pro || We are all experts at giving ourselves advice we have no intention of taking.
minimax/minimax-m2.7 || Most people don't run out of ability. They run out of days they were willing to be uncomfortable.
minimax/minimax-m2.7 || The person who never tried anything new made a very risky choice.
minimax/minimax-m2.7 || Comfort is the only slow suicide nobody calls a suicide.
google/gemini-3.1-pro-preview || The most reliable way to forgive today’s laziness is to invent a highly productive tomorrow.
google/gemini-3.1-pro-preview || Nothing guarantees failure quite like a perfectly rational explanation for why you cannot possibly begin yet.
google/gemini-3.5-flash || The hardest cage to escape is the one you built to keep yourself safe.
x-ai/grok-4.3 || The comfort you choose today will charge you interest tomorrow.
deepseek/deepseek-v4-pro || A finished draft is a hundred times more valuable than a perfect plan with zero words.
openai/gpt-5.5 || The couch never argues; that is how it wins.
moonshotai/kimi-k2.6 || The work does not get easier. You just stop asking it to entertain you.
moonshotai/kimi-k2.6 || Wanting is free. Deciding is the part that costs your old life.
deepseek/deepseek-v4-pro || The most expensive decision is the one you let someone else make for you.
deepseek/deepseek-v4-pro || Comfort is a currency that only spends in the smaller places.
deepseek/deepseek-v4-pro || The best way to predict your future is to notice what you repeatedly fail to begin.
google/gemini-3.1-pro-preview || The most terrifying thing about settling is how quickly it stops feeling like a compromise.
google/gemini-3.5-flash || We are constantly negotiating with ourselves, and we almost always accept the lowest offer.
openai/gpt-5.5 || You do not escape the hard part; you only choose its arrival time.
openai/gpt-5.5 || Some lives shrink so politely that no one thinks to call it surrender.
openai/gpt-5.5 || A wasted day rarely announces itself; it just asks for another.
moonshotai/kimi-k2.6 || The opposite of ambition is not laziness. It is a very comfortable chair.
moonshotai/kimi-k2.6 || The only thing worse than a hard day is a soft year.
zai-glm-5 || The reason most plans fail is that they were designed for someone with more discipline.
openai/gpt-5.5 || Ambition is harmless until the alarm clock asks for proof.
zai-glm-5 || The smallest life is the one where nothing is ever your fault.
google/gemini-3.1-pro-preview || We spend half our lives waiting for permission, and the rest realizing nobody was in charge.
google/gemini-3.1-pro-preview || A brilliant excuse is dangerous precisely because it works so flawlessly on its creator.
zai-glm-5 || Most of what we call being busy is just organized avoidance.
anthropic/claude-opus-4.8 || Your habits are quietly assembling someone — rarely the person you describe at parties.
openai/gpt-5.5 || Discipline is self-respect that learned to arrive on time.
zai-glm-5 || What you call being realistic is usually just being tired with better vocabulary.
zai-glm-5 || The trouble with knowing yourself is that you can no longer pretend the saboteur is a stranger.
anthropic/claude-opus-4.8 || We call it overthinking, but it's usually just fear, taking very careful notes.
openai/gpt-5.5 || The future is built by whatever you do after the mood leaves.
anthropic/claude-opus-4.8 || You are not who you intend to be; you are who your Tuesdays keep electing.
anthropic/claude-opus-4.8 || Momentum will gladly carry you somewhere you never agreed to go.
google/gemini-3.5-flash || The tragedy of the easy choice is that you must make it again tomorrow.
google/gemini-3.5-flash || The trouble with waiting for the perfect moment is that the waiting eventually becomes the work.
openai/gpt-5.5 || Waiting for courage is how fear learns to manage your calendar.
google/gemini-3.5-flash || Nothing shrinks a life quite as politely as a series of reasonable compromises.
google/gemini-3.5-flash || Nothing feels more like progress than organizing the tools you have no intention of using.
